ds,yhat,yhat_lower,yhat_upper
2020-10-13,1999.0040470421245,1713.0602227259114,2289.0639180539597
2020-10-14,1995.33238277206,1704.9886686284763,2269.884710216495
2020-10-15,1988.0021610320027,1697.9510258088087,2271.152940521087
2020-10-16,1987.3040581809564,1722.4506026598908,2278.1307166254774
2020-10-17,1991.5420105790026,1721.9358516158275,2262.8219102704143
2020-10-19,1976.5523656811497,1718.7595026816919,2248.593531414859
2020-10-20,1972.002798968591,1697.365958318286,2267.7002615869656
2020-10-21,1970.7713458181286,1696.1219495854095,2251.454487086417
2020-10-22,1966.1591433622546,1704.9294147243374,2247.5893067362786
2020-10-23,1968.4015169538072,1703.5472519341251,2235.443722750781
2020-10-24,1975.7430859583974,1696.2733684600746,2245.0803912813076
2020-10-27,1965.864935676642,1680.7976034980982,2289.217853584519
2020-10-28,1967.7576500268372,1678.3734023166505,2228.9461576107938
2020-10-29,1966.1176687331417,1674.289748878883,2254.481219322711
2020-10-31,1980.9617489094053,1695.0309391316246,2266.5337039549813
2020-11-04,1979.4599889235444,1728.3850978202825,2239.418783829181
2020-11-05,1978.4103480342505,1694.1361714529712,2248.7309168758043
2020-11-06,1983.560464395459,1707.8620364105927,2266.0966624992584
2020-11-07,1993.100407343301,1709.862764655524,2275.0979433465586
2020-11-09,1986.6806824935047,1675.203124802122,2264.526511622304
2020-11-10,1985.2370954813946,1714.0697699098728,2264.4077711464042
2020-11-11,1986.244638133981,1694.4683927985495,2262.5800434551193
2020-11-12,1983.204354942648,1691.4868631924162,2258.292386737063
2020-11-13,1986.0928240835046,1703.4633185620505,2286.573046584664
2020-11-17,1977.1409513900808,1711.2471321684625,2245.8547073962177
2020-11-18,1975.4045474373547,1682.2907151593456,2252.0485566165958
2020-11-19,1969.4739792745509,1695.1992427915534,2253.093650786432
2020-11-20,1969.6260605592124,1696.2590608549528,2240.5579158833907
2020-11-21,1974.1627150843813,1684.3806427754894,2240.06998519106
2020-11-23,1958.1664498339337,1699.7994088501666,2239.650541885313
2020-11-24,1952.364817214078,1669.1549812288417,2226.712112350672
2020-11-27,1942.54339029322,1664.1831542664127,2215.3579382565395
2020-11-28,1947.1872211946825,1652.636150076633,2225.590792858053
2020-11-30,1932.7317249039188,1647.4348272232958,2211.1362674731076
2020-12-03,1922.6498668613954,1647.013597070614,2190.0927132620686
2020-12-04,1924.9301202744712,1649.383513782362,2194.8305540807933
2020-12-05,1932.3062396435557,1645.960075380477,2196.000086917302
2020-12-07,1923.8952735511298,1650.8359862732564,2205.0836995624313
2020-12-08,1922.6942415861777,1651.8364392935152,2186.98059271087
2020-12-09,1924.789066379279,1635.8425413549119,2205.9427755138113
2020-12-10,1923.4357521757886,1660.6282622331748,2207.747443197607
2020-12-11,1928.8265843082713,1638.00525750558,2222.485194578246
2020-12-12,1939.1661762944548,1664.9025759648707,2231.9603053577803
2020-12-14,1936.0280384780956,1681.2219891138488,2212.2715078515216
2020-12-15,1937.043026212577,1665.697416324162,2189.0629527018614
2020-12-16,1941.0219717477914,1633.57463656441,2218.792550714401
2020-12-17,1941.1912351571602,1666.2139159621727,2231.279387523208
2020-12-18,1947.721395899072,1660.352829822214,2220.0420747826697
2020-12-19,1958.803642038685,1662.2007767650016,2223.003539050007
2020-12-21,1955.9491728144847,1674.4953085048387,2235.2587774696376
2020-12-22,1956.5200626851974,1693.086053134135,2256.086779394684
2020-12-23,1959.6873328394443,1690.0473094698395,2238.4904870417645
2020-12-24,1958.7036405155034,1693.1888540092496,2228.675509755553
2020-12-26,1973.1221875718495,1695.8662981462153,2252.3192641720275
2020-12-28,1966.1643495439007,1667.3296649114523,2234.35143874155
2020-12-29,1964.4576461430036,1692.274018166447,2237.89167355537
2020-12-30,1965.261387983383,1675.1946880532,2252.7691529299977
2020-12-31,1961.8766690596995,1706.6377129689984,2248.225095982238
2021-01-06,1955.6368617140088,1686.729561324239,2251.549319799147
2021-01-07,1950.6948460863468,1660.6216237479296,2230.8832891801444
2021-01-08,1952.0324543568347,1677.530786995707,2229.6308688160634
2021-01-11,1945.042659269332,1661.964228897197,2211.3957021666038
2021-01-12,1940.9078890642866,1667.0690732611708,2229.4369344848255
2021-01-13,1939.653303405989,1659.7370250799252,2208.503205658202
2021-01-14,1934.5756489682376,1654.5057062696624,2210.007424856871
2021-01-18,1929.409295666014,1650.1877636898726,2204.164975269547
2021-01-19,1925.4990231737736,1634.5610035072514,2211.322318409541
2021-01-20,1924.4496190635248,1647.8298061018143,2214.3026746770497
2021-01-21,1919.559555532164,1629.6653575699509,2194.4244208917557
2021-01-22,1921.0125734212284,1641.0036435118093,2223.0346407076117
2021-01-25,1914.284563413441,1637.946109919137,2198.0285636510034
2021-01-27,1908.6197653405482,1641.0624388050742,2158.0020930823625
